label_month,period_start,period_end,gate_on_ret,gate_off_ret,gated_this_period,diff
2011-03,2011-02-28,2011-03-31,0.01436164878400703,0.014361648784008585,False,-1.5543122344752192e-15
2011-04,2011-03-31,2011-04-29,0.014747263503628982,0.014747263503630537,False,-1.5543122344752192e-15
2011-05,2011-04-29,2011-05-31,-0.011698688545258129,-0.011698688545257463,False,-6.661338147750939e-16
2011-06,2011-05-31,2011-06-30,-0.011961164326895646,-0.011961164326895757,False,1.1102230246251565e-16
2011-07,2011-06-30,2011-07-29,-0.029447501273277332,-0.029447501273279664,False,2.3314683517128287e-15
2011-08,2011-07-29,2011-08-31,-0.07074375251778242,-0.06971764269895431,False,-0.0010261098188281137
2011-09,2011-08-31,2011-09-30,0.0,-0.0991999241053827,True,0.0991999241053827
2011-10,2011-09-30,2011-10-31,0.0,0.10081468982564168,True,-0.10081468982564168
2011-11,2011-10-31,2011-11-30,0.0,-0.003191109566724082,True,0.003191109566724082
2011-12,2011-11-30,2011-12-30,-0.0020000000000000018,0.006250165818761477,True,-0.008250165818761479
2012-01,2011-12-30,2012-01-31,0.00378461798400731,0.00378461798400731,False,0.0
2012-02,2012-01-31,2012-02-29,0.04286594491729323,0.042865944917293675,False,-4.440892098500626e-16
2012-03,2012-02-29,2012-03-30,0.03837131303351016,0.0383713130335126,False,-2.4424906541753444e-15
2012-04,2012-03-30,2012-04-30,0.017763345643474704,0.017763345643476702,False,-1.9984014443252818e-15
2012-05,2012-04-30,2012-05-31,-0.050829568683964266,-0.05082956868396249,False,-1.7763568394002505e-15
2012-06,2012-05-31,2012-06-29,0.024117395111498352,0.024117395111496354,False,1.9984014443252818e-15
2012-07,2012-06-29,2012-07-31,0.011795749215371965,0.011795749215369744,False,2.220446049250313e-15
2012-08,2012-07-31,2012-08-31,0.004195319816572285,0.004195319816573839,False,-1.5543122344752192e-15
2012-09,2012-08-31,2012-09-28,0.01935818271216294,0.019358182712165384,False,-2.4424906541753444e-15
2012-10,2012-09-28,2012-10-31,-0.006179670880347543,-0.006179670880345878,False,-1.6653345369377348e-15
2012-11,2012-10-31,2012-11-30,0.01665254716828679,0.016652547168285237,False,1.5543122344752192e-15
2012-12,2012-11-30,2012-12-31,0.02064846679173038,0.020648466791731268,False,-8.881784197001252e-16
