cell,year,n_trades
2|20|close>5SMA|2xATR,1986,8
2|20|close>5SMA|2xATR,1987,20
2|20|close>5SMA|2xATR,1988,4
2|20|close>5SMA|2xATR,1989,21
2|20|close>5SMA|2xATR,1990,10
2|20|close>5SMA|2xATR,1991,36
2|20|close>5SMA|2xATR,1992,27
2|20|close>5SMA|2xATR,1993,62
2|20|close>5SMA|2xATR,1994,34
2|20|close>5SMA|2xATR,1995,143
2|20|close>5SMA|2xATR,1996,199
2|20|close>5SMA|2xATR,1997,314
2|20|close>5SMA|2xATR,1998,314
2|20|close>5SMA|2xATR,1999,404
2|20|close>5SMA|2xATR,2000,316
2|20|close>5SMA|2xATR,2002,36
2|20|close>5SMA|2xATR,2003,559
2|20|close>5SMA|2xATR,2004,670
2|20|close>5SMA|2xATR,2005,882
2|20|close>5SMA|2xATR,2006,831
2|20|close>5SMA|2xATR,2007,995
2|20|close>5SMA|2xATR,2009,598
2|20|close>5SMA|2xATR,2010,961
2|20|close>5SMA|2xATR,2011,862
2|20|close>5SMA|2xATR,2012,1286
2|20|RSI>65|nostop,1982,7
