instrument,rsi_period,threshold,exit,stop,n_trades,win_rate,expectancy_pct,profit_factor,max_dd_pct,tim_pct,ann_ret_pct,ann_over_tim
^GSPC,2,30,time3d,2xATR,1617,41.249226963512676,-0.2675769773632289,0.6449441172733107,-99.30028006836426,29.00173326462735,-5.219159023156605,-17.996024498033282
^GSPC,3,5,close>5SMA,nostop,66,53.03030303030303,-0.19740799701626377,0.7385611546458442,-31.12386108780314,1.8222701082119268,-0.16728463287477568,-9.180013002513718
^GSPC,3,5,close>5SMA,2xATR,67,52.23880597014925,-0.33389316666698426,0.6219697388101898,-35.9018489540703,1.5927296575631238,-0.2792796636950756,-17.53465582617288
^GSPC,3,5,RSI>65,nostop,66,65.15151515151516,0.24247302705279367,1.363073956056734,-24.684081299081704,2.843490888649459,0.16999426461510314,5.978365019338725
^GSPC,3,5,RSI>65,2xATR,67,59.70149253731343,-0.014379444156042458,0.9837685685224253,-35.130734319628985,2.2672975125310346,-0.032430515064130194,-1.4303599278388168
^GSPC,3,5,time3d,nostop,67,37.3134328358209,-0.146522973798711,0.7738369477206373,-24.621817655460998,1.255445730079168,-0.12620066320104817,-10.052259542361103
^GSPC,3,5,time3d,2xATR,68,38.23529411764706,-0.14916846521627103,0.7687739323620224,-24.62181765546102,1.255445730079168,-0.13011873784671835,-10.364345883633943
^GSPC,3,10,close>5SMA,nostop,231,56.709956709956714,-0.01886478091376285,0.9758203969882561,-60.16769352319089,5.935260223919052,-0.12633962409157595,-2.1286282205863234
^GSPC,3,10,close>5SMA,2xATR,248,54.83870967741935,-0.03531432716899779,0.9536128372036812,-58.430550104939186,5.092050405209163,-0.17021847447643568,-3.342827759566212
^GSPC,3,10,RSI>65,nostop,220,62.727272727272734,0.38943855425477353,1.4838976652636835,-55.10351473795885,9.130088537030964,0.8880793515134489,9.72695224051185
^GSPC,3,10,RSI>65,2xATR,243,57.61316872427984,0.24816072924973734,1.2754850237214328,-58.28327163742997,7.298449430833373,0.6031310949436319,8.263825085854755
^GSPC,3,10,time3d,nostop,257,42.023346303501945,0.006964975025383716,1.0097490444734292,-47.410339501866375,4.815664964632033,-0.05055048563767928,-1.0497093549684235
^GSPC,3,10,time3d,2xATR,264,41.66666666666667,0.0036890251888329396,1.0052921854281882,-47.71812698879946,4.787557970675036,-0.05164454671097163,-1.0787242061048057
^GSPC,3,15,close>5SMA,nostop,417,57.793764988009585,-0.09955331707510338,0.857865376259907,-66.13135433755245,9.935822363798192,-0.6060007112453247,-6.099150015536986
^GSPC,3,15,close>5SMA,2xATR,448,56.02678571428571,-0.11625474443803491,0.835265329007021,-66.46186231782607,8.633531643790697,-0.7005869491441996,-8.114720349094535
^GSPC,3,15,RSI>65,nostop,375,66.13333333333333,0.1824332090552774,1.2293237280711231,-60.46788573934872,14.86391530425821,0.594976953035764,4.002827928286938
^GSPC,3,15,RSI>65,2xATR,422,60.18957345971564,0.049904671772196284,1.0571428597733483,-64.18733443021672,11.748723474024453,0.11648273215125737,0.9914501129317748
^GSPC,3,15,time3d,nostop,472,47.66949152542373,-0.09202687157978699,0.8702198159901401,-62.83505360768179,8.834965100482503,-0.612342770236507,-6.9309019704341015
^GSPC,3,15,time3d,2xATR,486,47.325102880658434,-0.06600779050639183,0.904107563977496,-59.6739687397541,8.764697615590013,-0.4712905819939328,-5.377145940045154
^GSPC,3,20,close>5SMA,nostop,618,57.76699029126213,-0.13297224510213218,0.8050851603159439,-78.34946596714396,14.582845364688247,-1.1178297008937021,-7.665374437834199
^GSPC,3,20,close>5SMA,2xATR,675,56.592592592592595,-0.11763911326716534,0.8228404631182964,-76.71763554351068,12.93390171921113,-1.0508837542490435,-8.125032778686828
^GSPC,3,20,RSI>65,nostop,527,63.37760910815939,0.05456960897354494,1.0672036773666451,-75.78898948629114,20.60711106947112,0.0704906493558699,0.34206953666736867
^GSPC,3,20,RSI>65,2xATR,611,58.756137479541735,0.012790036388475406,1.0154003904042064,-69.75680657035205,16.555019440670822,-0.0747129891358056,-0.45130112594285277
^GSPC,3,20,time3d,nostop,720,48.75,-0.12775987539498074,0.8166184148526872,-77.39496480429374,13.481988101372558,-1.2182773293436755,-9.036332921994246
^GSPC,3,20,time3d,2xATR,740,48.24324324324324,-0.09627761390984015,0.8553060593868511,-75.54933455901174,13.36487562655174,-0.9614636505262286,-7.193958832030636
^GSPC,3,30,close>5SMA,nostop,911,51.92096597145993,-0.32087759542507616,0.5823546944336792,-96.17650412047591,21.548695367030497,-3.623754459599593,-16.81658401066794
^GSPC,3,30,close>5SMA,2xATR,1051,52.61655566127498,-0.2044423636434963,0.6997182923209982,-94.60091365890896,19.52030730313393,-2.6653785716520217,-13.65438837750317
^GSPC,3,30,RSI>65,nostop,732,61.065573770491795,-0.1619762966995868,0.8125166154337516,-91.70961232544116,27.94772099123999,-1.7202112989663343,-6.155104022633982
^GSPC,3,30,RSI>65,2xATR,912,58.333333333333336,-0.07146841648695658,0.9133781583903562,-85.64853323025683,23.33348948329976,-0.9957971156846823,-4.267673364489242
^GSPC,3,30,time3d,nostop,1112,42.44604316546763,-0.2788901847889877,0.6401010724210925,-96.92999660957167,20.836651520119922,-3.8015330574721284,-18.24445282775574
^GSPC,3,30,time3d,2xATR,1155,42.077922077922075,-0.2116155748659868,0.7059966582166324,-95.94786503125128,20.71485454630627,-3.0240288012000516,-14.598358846498757
^GSPC,4,5,close>5SMA,nostop,10,40.0,-0.8100265629852854,0.3484105417265255,-12.541668804548166,0.3185459315126247,-0.09825929199944738,-30.846192739885343
^GSPC,4,5,close>5SMA,2xATR,10,40.0,-1.0806016357653536,0.2861331107586862,-14.942035805345977,0.23890944863446856,-0.1310741823680739,-54.863540608064184
^GSPC,4,5,RSI>65,nostop,10,50.0,-0.34261767072577554,0.7137115068906772,-15.072404955128372,0.6558298589965803,-0.04381590025342996,-6.680985876499781
^GSPC,4,5,RSI>65,2xATR,10,40.0,-0.731850949237135,0.5220773297742041,-16.03420578529109,0.39818241439078095,-0.09059096212378215,-22.751120805369144
^GSPC,4,5,time3d,nostop,10,30.0,-0.29728259772460963,0.5569823747850545,-8.162571157105392,0.18737995971330867,-0.0360276307992069,-19.22704586676674
^GSPC,4,5,time3d,2xATR,10,30.0,-0.2913549501730883,0.5619463400942684,-8.107605487386671,0.17801096172764322,-0.03532155617215205,-19.842348937024468
^GSPC,4,10,close>5SMA,nostop,82,58.536585365853654,0.04885441936307745,1.0681415855037701,-32.70891221001509,2.1876610296528787,0.023465846352777042,1.0726454434533865
^GSPC,4,10,close>5SMA,2xATR,85,57.647058823529406,-0.001136568251814211,0.9984726375294735,-35.32046956600382,1.9440670820255774,-0.02523962238252242,-1.2982896843366412
^GSPC,4,10,RSI>65,nostop,82,70.73170731707317,0.8314878047774165,2.3814416886151615,-21.47724986447691,4.1926265985852815,0.769403312276995,18.351343583438002
